id,created_at,full_text,media,screen_name,name,profile_image_url,user_id,in_reply_to,retweeted_status,quoted_status,media_tags,favorite_count,retweet_count,bookmark_count,quote_count,reply_count,views_count,favorited,retweeted,bookmarked,url,text_raw,hashtags_list,text_clean_llm,is_retweet,lost_hashtags_count
1343458257915031553,2020-12-28 08:26:23 +01:00,"💩 à @free parce-que Débit Très instable, … \n\nFree en France: vitesse, performances, pannes et commentaires des utilisateurs\n👉 https://t.co/Yab5ES2gLh\n\n#fing #internet #Free\n\nvia @fingapp @outagedetect",[],m_annuel,M Annuel,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,1104790986801250304,,,,[],2,1,0,0,1,,False,False,False,https://twitter.com/m_annuel/status/1343458257915031553,"💩 à @free parce-que Débit Très instable, … \n\nFree en France: vitesse, performances, pannes et commentaires des utilisateurs\n👉 https://t.co/Yab5ES2gLh\n\n#fing #internet #Free\n\nvia @fingapp @outagedetect","['#fing', '#internet', '#Free']","💩 à @free parce-que débit très instable, … free en france: vitesse, performances, pannes et commentaires des utilisateurs 👉 #fing #internet #free via @fingapp @outagedetect",False,0
1480465391424053249,2022-01-10 10:03:49 +01:00,🎂 @free célèbre aujourd'hui 10 ans de révolution mobile ! Notre CP 👉 https://t.co/4wiuxqOx9b https://t.co/c1e4svvexn,"[{""type"":""video"",""url"":""https://t.co/c1e4svvexn"",""thumbnail"":""https://pbs.twimg.com/ext_tw_video_thumb/1480464545055453185/pu/img/hKX4D3miTiISobYD.jpg?name=thumb"",""original"":""https://video.twimg.com/ext_tw_video/1480464545055453185/pu/vid/720x720/uf7G4w_OpFnR5pHE.mp4?tag=12""}]",GroupeIliad,Groupe iliad,https://pbs.twimg.com/profile_images/1273657686203170818/PBEYgUCT_normal.jpg,3157961111,,,,[],80,17,2,0,39,,False,False,False,https://twitter.com/GroupeIliad/status/1480465391424053249,🎂 @free célèbre aujourd'hui 10 ans de révolution mobile ! Notre CP 👉 https://t.co/4wiuxqOx9b https://t.co/c1e4svvexn,[],🎂 @free célèbre aujourd'hui 10 ans de révolution mobile ! notre cp 👉,False,0
1485331097844129798,2022-01-23 20:18:24 +01:00,Et vous ça se passe comment la fibre ?\n@Sosh_fr @CovageIDF_OUEST c’est la misère vraiment jpp https://t.co/I41UXroh0F,"[{""type"":""photo"",""url"":""https://t.co/I41UXroh0F"",""thumbnail"":""https://pbs.twimg.com/media/FJz0vDiXIAAmTmd?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/FJz0vDiXIAAmTmd?format=jpg&name=orig""}]",MitchelMcPat,MitchelMcPat,https://pbs.twimg.com/profile_images/1771992854971203584/P-EuAmK3_normal.jpg,906220646492983296,,,,[],0,0,1,0,3,,False,False,False,https://twitter.com/MitchelMcPat/status/1485331097844129798,Et vous ça se passe comment la fibre ?\n@Sosh_fr @CovageIDF_OUEST c’est la misère vraiment jpp https://t.co/I41UXroh0F,[],et vous ça se passe comment la fibre ? @sosh_fr @covageidf_ouest c’est la misère vraiment jpp,False,0
1694675653205860558,2023-08-24 13:38:55 +02:00,"Dans la lutte contre les installations sauvages et les infrastructures dégradées, la bonne formation des techniciens qui déploient la fibre est essentielle. J'étais ce matin aux côtés d'Idriss, formateur au centre de formation technique @free à Argenteuil, dans le Val-d'Oise. https://t.co/nKKA40veRw","[{""type"":""photo"",""url"":""https://t.co/nKKA40veRw"",""thumbnail"":""https://pbs.twimg.com/media/F4SyhckW8AAHxGN?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/F4SyhckW8AAHxGN?format=jpg&name=orig"",""ext_alt_text"":""Jean-Noël Barrot participant à un atelier de formation fibre au centre de formation  technique Free d'Argenteuil, dans le Val d'Oise.""}]",jnbarrot,Jean-Noël Barrot,https://pbs.twimg.com/profile_images/1912992083243159552/c1lP9dZv_normal.jpg,865482011523166209,,,,"[{""user_id"":""3001096995"",""name"":""Arcep"",""screen_name"":""Arcep"",""type"":""user""},{""user_id"":""394743295"",""name"":""Fédération Française des Télécoms"",""screen_name"":""FFTelecoms"",""type"":""user""},{""user_id"":""1511338981"",""name"":""Georges Mothron"",""screen_name"":""GMothron"",""type"":""user""},{""user_id"":""1245515689"",""name"":""Préfet du Val-d'Oise"",""screen_name"":""Prefet95"",""type"":""user""}]",112,35,0,2,14,9127.0,False,False,False,https://twitter.com/jnbarrot/status/1694675653205860558,"Dans la lutte contre les installations sauvages et les infrastructures dégradées, la bonne formation des techniciens qui déploient la fibre est essentielle. J'étais ce matin aux côtés d'Idriss, formateur au centre de formation technique @free à Argenteuil, dans le Val-d'Oise. https://t.co/nKKA40veRw",[],"dans la lutte contre les installations sauvages et les infrastructures dégradées, la bonne formation des techniciens qui déploient la fibre est essentielle. j'étais ce matin aux côtés d'idriss, formateur au centre de formation technique @free à argenteuil, dans le val-d'oise.",False,0
1695912123824546156,2023-08-27 23:32:13 +02:00,"Hello @free, @Freebox et @orange je crois que nous allons avoir prochainement un gros problème de fibre / PBOE https://t.co/IreryVRyFc","[{""type"":""photo"",""url"":""https://t.co/IreryVRyFc"",""thumbnail"":""https://pbs.twimg.com/media/F4kXFFrWYAAPEyh?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/F4kXFFrWYAAPEyh?format=jpg&name=orig""}]",rgaidot,ɹˈe͡ɪɡɪz,https://pbs.twimg.com/profile_images/1567172732290310148/y1o1gc4C_normal.png,1245801,,,,[],1,0,0,1,2,778.0,False,False,False,https://twitter.com/rgaidot/status/1695912123824546156,"Hello @free, @Freebox et @orange je crois que nous allons avoir prochainement un gros problème de fibre / PBOE https://t.co/IreryVRyFc",[],"hello @free, @freebox et @orange je crois que nous allons avoir prochainement un gros problème de fibre / pboe",False,0
1709659172361404776,2023-10-04 21:58:05 +02:00,"Bonsoir @WavemakerFR, je suis chez @free et voici ma bande passante #Freebox ⤵️\nVous allez pouvoir vous moquer d'eux dans votre prochain spot publicitaire @reef_telecom\n\n@Freebox @FreePro @GroupeIliad @Xavier75 🤡 https://t.co/f2CDpSoXJF","[{""type"":""photo"",""url"":""https://t.co/f2CDpSoXJF"",""thumbnail"":""https://pbs.twimg.com/media/F7nt6HxWkAArUfO?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/F7nt6HxWkAArUfO?format=jpg&name=orig""},{""type"":""photo"",""url"":""https://t.co/f2CDpSoXJF"",""thumbnail"":""https://pbs.twimg.com/media/F7nt7BIWQAAh84J?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/F7nt7BIWQAAh84J?format=jpg&name=orig""},{""type"":""photo"",""url"":""https://t.co/f2CDpSoXJF"",""thumbnail"":""https://pbs.twimg.com/media/F7nt8EjXoAADKwR?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/F7nt8EjXoAADKwR?format=jpg&name=orig""},{""type"":""photo"",""url"":""https://t.co/f2CDpSoXJF"",""thumbnail"":""https://pbs.twimg.com/media/F7nt9NPWkAA-3-3?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/F7nt9NPWkAA-3-3?format=jpg&name=orig""}]",EllaVerite,𝔼lla 𝕍érité ⚖️ⓩ,https://pbs.twimg.com/profile_images/1244312592253886465/7My06uJh_normal.jpg,1244306180794712065,,,,[],0,0,0,0,3,223.0,False,False,False,https://twitter.com/EllaVerite/status/1709659172361404776,"Bonsoir @WavemakerFR, je suis chez @free et voici ma bande passante #Freebox ⤵️\nVous allez pouvoir vous moquer d'eux dans votre prochain spot publicitaire @reef_telecom\n\n@Freebox @FreePro @GroupeIliad @Xavier75 🤡 https://t.co/f2CDpSoXJF",['#Freebox'],"bonsoir @wavemakerfr, je suis chez @free et voici ma bande passante #freebox ⤵️ vous allez pouvoir vous moquer d'eux dans votre prochain spot publicitaire @reef_telecom @freebox @freepro @groupeiliad @xavier75 🤡",False,0
1711773973401235737,2023-10-10 18:01:33 +02:00,"@free @Xavier75 @NThomas82Free \n\nEn 3 ans l’équipe technique de Free (le « BOC » m’a t’on dit) n’est pas capable d’amener 3 mètres (ou moins!) de câble Fibre, afin que j’ai la fibre (cercle rouge) comme mes voisines dont nos maisons sont mitoyennes (cercles verts). Satisfaisant?! https://t.co/Z1Wn4nhGmu","[{""type"":""photo"",""url"":""https://t.co/Z1Wn4nhGmu"",""thumbnail"":""https://pbs.twimg.com/media/F8FxVIFWwAA7l43?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/F8FxVIFWwAA7l43?format=jpg&name=orig""}]",michfrapp,michfrapp,https://pbs.twimg.com/profile_images/69444679/1201867447_lg_normal.jpg,7458652,,,,"[{""user_id"":""17744075"",""name"":""Xavier Niel"",""screen_name"":""Xavier75"",""type"":""user""},{""user_id"":""252263949"",""name"":""Free"",""screen_name"":""free"",""type"":""user""},{""user_id"":""1622989990685822976"",""name"":""Nicolas Thomas"",""screen_name"":""NThomas82Free"",""type"":""user""},{""user_id"":""296824934"",""name"":""Orange"",""screen_name"":""orange"",""type"":""user""},{""user_id"":""16557431"",""name"":""Bouygues Telecom"",""screen_name"":""bouyguestelecom"",""type"":""user""},{""user_id"":""2215895461"",""name"":""SFR"",""screen_name"":""SFR"",""type"":""user""},{""user_id"":""4910809053"",""name"":""Direction interministérielle du numérique"",""screen_name"":""Numerique_Gouv"",""type"":""user""}]",0,0,0,0,6,222.0,False,False,False,https://twitter.com/michfrapp/status/1711773973401235737,"@free @Xavier75 @NThomas82Free \n\nEn 3 ans l’équipe technique de Free (le « BOC » m’a t’on dit) n’est pas capable d’amener 3 mètres (ou moins!) de câble Fibre, afin que j’ai la fibre (cercle rouge) comme mes voisines dont nos maisons sont mitoyennes (cercles verts). Satisfaisant?! https://t.co/Z1Wn4nhGmu",[],"@free @xavier75 @nthomas82free en 3 ans l’équipe technique de free (le « boc » m’a t’on dit) n’est pas capable d’amener 3 mètres (ou moins!) de câble fibre, afin que j’ai la fibre (cercle rouge) comme mes voisines dont nos maisons sont mitoyennes (cercles verts). satisfaisant?!",False,0
1759266279620247842,2024-02-18 18:19:01 +01:00,".@free a 25 ans et tient toujours ses promesses en terme de pouvoir d’achat et d’innovation. 3 quinquennats sans toucher aux prix de nos forfaits mobiles, voilà une promesse à laquelle les français peuvent croire🇫🇷🙏🔥",[],TomReynaud1789,Thomas REYNAUD,https://pbs.twimg.com/profile_images/1761030117340438528/qJMr_lst_normal.jpg,1182315177347293184,,,1.75918381739749e+18,[],185,42,3,0,17,26373.0,False,False,False,https://twitter.com/TomReynaud1789/status/1759266279620247842,".@free a 25 ans et tient toujours ses promesses en terme de pouvoir d’achat et d’innovation. 3 quinquennats sans toucher aux prix de nos forfaits mobiles, voilà une promesse à laquelle les français peuvent croire🇫🇷🙏🔥",[],".@free a 25 ans et tient toujours ses promesses en terme de pouvoir d’achat et d’innovation. 3 quinquennats sans toucher aux prix de nos forfaits mobiles, voilà une promesse à laquelle les français peuvent croire🇫🇷🙏🔥",False,0
1762571081402011959,2024-02-27 21:11:07 +01:00,Ça fonctionne super bien la Fibre Free ce soir... Franchement c'est abusé. Déjà l'autre soir la TV de Free (OQEE) était carrément indisponible ! #FTTH #fibre #Free #Var @Freebox @Free_1337 @free https://t.co/UwrutxJMD9,"[{""type"":""photo"",""url"":""https://t.co/UwrutxJMD9"",""thumbnail"":""https://pbs.twimg.com/media/GHXo1b7WIAAbMbt?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/GHXo1b7WIAAbMbt?format=jpg&name=orig""}]",nephthys,Camille Bouiller,https://pbs.twimg.com/profile_images/1189240389196271616/cR7wwXfh_normal.jpg,11038512,,,,[],1,1,0,0,4,1070.0,False,False,False,https://twitter.com/nephthys/status/1762571081402011959,Ça fonctionne super bien la Fibre Free ce soir... Franchement c'est abusé. Déjà l'autre soir la TV de Free (OQEE) était carrément indisponible ! #FTTH #fibre #Free #Var @Freebox @Free_1337 @free https://t.co/UwrutxJMD9,"['#FTTH', '#fibre', '#Free', '#Var']",ça fonctionne super bien la fibre free ce soir... franchement c'est abusé. déjà l'autre soir la tv de free (oqee) était carrément indisponible ! #ftth #fibre #free #var @freebox @free_1337 @free,False,0
1811040987365421110,2024-07-10 16:13:13 +02:00,"@Xavier75 et tout le réseau @Freebox sachez qu'une main courante va être déposée, et ira plus loin s'il le faut.\n6 appels en 24h avec 6 numéros différents quand je demande de retirer mon numéro de vos bases de données c'est du harcèlement.\nVos forfaits de merde j'en veux pas.",[],FrenchTea13,Mary 🐇,https://pbs.twimg.com/profile_images/1864648277729157120/2tqAbBII_normal.jpg,1035075736850362368,,,,[],0,0,0,0,1,56.0,False,False,False,https://twitter.com/FrenchTea13/status/1811040987365421110,"@Xavier75 et tout le réseau @Freebox sachez qu'une main courante va être déposée, et ira plus loin s'il le faut.\n6 appels en 24h avec 6 numéros différents quand je demande de retirer mon numéro de vos bases de données c'est du harcèlement.\nVos forfaits de merde j'en veux pas.",[],"@xavier75 et tout le réseau @freebox sachez qu'une main courante va être déposée, et ira plus loin s'il le faut. 6 appels en 24h avec 6 numéros différents quand je demande de retirer mon numéro de vos bases de données c'est du harcèlement. vos forfaits de merde j'en veux pas.",False,0
